'Elapsed time','ABP'
seconds','mmhg'
16.700,103.533
16.720,123.272
16.740,136.937
16.760,141.479
16.780,137.285
16.800,130.739
16.820,122.438
16.840,113.017
16.860,102.687
16.880,93.104
16.900,85.488
16.920,81.306
16.940,78.954
16.960,78.779
16.980,79.414
17.000,80.086
17.020,80.758
17.040,80.908
17.060,80.397
17.080,78.568
17.100,76.004
17.120,72.930
17.140,69.719
17.160,67.193
17.180,65.251
17.200,63.559
17.220,62.389
17.240,69.022
17.260,98.667
17.280,120.969
17.300,134.062
17.320,139.849
17.340,136.215
17.360,129.719
17.380,120.534
17.400,111.026
17.420,101.243
17.440,91.835
17.460,84.193
17.480,80.061
17.500,78.804
17.520,79.240
17.540,80.397
17.560,81.331
17.580,81.816
17.600,81.990
17.620,81.443
17.640,79.265
17.660,76.104
17.680,73.030
17.700,69.968
17.720,67.915
17.740,66.010
17.760,64.106
17.780,64.417
17.800,77.634
17.820,108.138
17.840,127.130
17.860,139.687
17.880,141.442
17.900,136.327
17.920,129.980
17.940,120.235
17.960,110.515
17.980,99.999
18.000,91.200
18.020,84.517
18.040,80.659
18.060,79.128
18.080,79.489
18.100,80.348
18.120,81.231
18.140,81.891
18.160,81.580
18.180,80.708
18.200,78.319
18.220,75.494
18.240,71.835
18.260,69.396
18.280,66.981
18.300,65.127
18.320,63.397
18.340,66.048
18.360,88.898
18.380,117.833
18.400,132.481
18.420,141.878
18.440,141.181
18.460,135.655
18.480,127.951
18.500,118.406
18.520,108.574
18.540,97.510
18.560,88.835
18.580,82.339
18.600,79.800
18.620,79.028
18.640,79.875
18.660,80.858
18.680,82.177
18.700,82.302
18.720,81.468
18.740,79.900
18.760,76.664
18.780,73.353
18.800,70.615
18.820,67.815
18.840,65.923
18.860,64.081
18.880,65.139
18.900,83.260
18.920,112.855
18.940,128.997
18.960,139.538
18.980,139.177
19.000,133.203
19.020,126.221
19.040,116.875
19.060,107.416
19.080,95.929
19.100,87.193
19.120,81.468
19.140,78.904
19.160,78.294
19.180,79.066
19.200,80.236
19.220,81.169
19.240,81.256
19.260,80.908
19.280,79.128
19.300,76.303
19.320,73.017
19.340,70.155
19.360,67.305
19.380,65.413
19.400,63.882
19.420,65.351
19.440,86.446
19.460,115.979
19.480,130.527
19.500,139.040
19.520,136.763
19.540,129.905
19.560,121.517
19.580,111.573
19.600,101.853
19.620,92.084
19.640,84.591
19.660,79.887
19.680,78.394
19.700,79.128
19.720,80.310
19.740,81.941
19.760,82.911
19.780,82.700
19.800,81.269
19.820,79.140
19.840,75.606
19.860,72.532
19.880,69.844
19.900,67.902
19.920,66.371
19.940,65.027
19.960,69.682
19.980,96.514
20.000,121.965
20.020,135.481
20.040,142.164
20.060,138.468
20.080,131.249
20.100,122.898
20.120,113.291
20.140,102.575
20.160,92.420
20.180,85.363
20.200,80.771
20.220,78.904
20.240,78.904
20.260,80.186
20.280,81.082
20.300,81.891
20.320,81.878
20.340,81.368
20.360,78.618
20.380,75.805
20.400,72.482
20.420,69.682
20.440,67.379
20.460,65.463
20.480,63.857
20.500,66.994
20.520,90.590
20.540,118.991
20.560,133.900
20.580,142.064
20.600,140.098
20.620,133.552
20.640,125.711
20.660,115.680
20.680,105.301
20.700,95.008
20.720,86.794
20.740,81.530
20.760,79.028
20.780,79.078
20.800,79.974
20.820,80.845
20.840,81.928
20.860,82.227
20.880,81.057
20.900,79.190
20.920,75.929
20.940,72.719
20.960,69.719
20.980,67.043
21.000,65.102
21.020,63.745
21.040,66.371
21.060,91.561
21.080,118.393
21.100,130.254
21.120,140.720
21.140,138.256
21.160,132.979
21.180,124.516
21.200,113.851
21.220,103.845
21.240,93.502
21.260,85.512
21.280,80.260
21.300,78.269
21.320,77.896
21.340,79.339
21.360,80.746
21.380,81.629
21.400,81.891
21.420,80.435
21.440,78.406
21.460,75.083
21.480,72.146
21.500,69.595
21.520,66.770
21.540,65.251
21.560,63.758
21.580,69.645
21.600,98.306
21.620,121.729
21.640,134.834
21.660,140.832
21.680,135.655
21.700,128.014
21.720,119.376
21.740,109.009
21.760,98.692
21.780,89.059
21.800,82.638
21.820,79.476
21.840,78.506
21.860,79.700
21.880,81.157
21.900,82.053
21.920,82.389
21.940,81.878
21.960,80.509
21.980,77.722
22.000,74.760
22.020,71.598
22.040,69.221
22.060,66.931
22.080,65.450
22.100,64.716
22.120,73.839
22.140,104.467
22.160,125.562
22.180,138.368
22.200,141.654
22.220,136.053
22.240,128.536
22.260,119.090
22.280,108.972
22.300,99.090
22.320,90.528
22.340,84.567
22.360,80.547
22.380,79.676
22.400,80.061
22.420,81.281
22.440,81.816
22.460,82.264
22.480,82.040
22.500,80.509
22.520,77.796
22.540,74.672
22.560,71.337
22.580,68.512
22.600,66.720
22.620,64.803
22.640,64.281
22.660,74.934
22.680,106.520
22.700,126.570
22.720,138.903
22.740,142.413
22.760,137.074
22.780,129.967
22.800,120.708
22.820,111.374
22.840,100.845
22.860,90.640
22.880,83.820
22.900,80.260
22.920,78.804
22.940,79.265
22.960,80.621
22.980,81.729
23.000,82.239
23.020,82.152
23.040,80.472
23.060,77.697
23.080,74.660
23.100,71.474
23.120,69.022
23.140,66.483
23.160,64.368
23.180,63.447
23.200,69.968
23.220,99.289
23.240,122.040
23.260,135.555
23.280,141.131
23.300,136.053
23.320,128.623
23.340,119.887
23.360,109.706
23.380,98.879
23.400,89.906
23.420,83.422
23.440,79.165
23.460,78.083
23.480,78.867
23.500,79.638
23.520,80.758
23.540,81.468
23.560,81.082
23.580,79.800
23.600,77.585
23.620,74.361
23.640,71.437
23.660,68.636
23.680,66.571
23.700,64.803
23.720,63.509
23.740,67.753
23.760,95.394
23.780,120.509
23.800,133.689
23.820,140.446
23.840,136.451
23.860,128.872
23.880,119.451
23.900,109.420
23.920,99.327
23.940,90.092
23.960,83.409
23.980,80.161
24.000,79.439
24.020,79.526
24.040,80.870
24.060,82.003
24.080,82.314
24.100,82.351
24.120,80.858
24.140,79.028
24.160,75.743
24.180,72.370
24.200,69.545
24.220,67.255
24.240,65.401
24.260,63.870
24.280,68.375
24.300,94.896
24.320,120.808
24.340,134.995
24.360,142.351
24.380,138.717
24.400,131.685
24.420,123.359
24.440,113.925
24.460,102.575
24.480,92.743
24.500,85.824
24.520,80.746
24.540,78.854
24.560,78.804
24.580,80.086
24.600,81.119
24.620,81.853
24.640,81.903
24.660,80.933
24.680,78.804
24.700,75.793
24.720,72.507
24.740,69.694
24.760,67.429
24.780,65.002
24.800,63.559
24.820,64.393
24.840,82.949
24.860,114.261
24.880,130.266
24.900,140.496
24.920,140.658
24.940,135.232
24.960,126.744
24.980,117.796
25.000,108.051
25.020,98.406
25.040,89.458
25.060,82.862
25.080,79.900
25.100,79.028
25.120,79.364
25.140,80.509
25.160,81.468
25.180,81.978
25.200,81.219
25.220,79.439
25.240,76.651
25.260,73.739
25.280,70.329
25.300,68.101
25.320,65.587
25.340,64.169
25.360,62.874
25.380,70.889
25.400,101.443
25.420,122.289
25.440,136.377
25.460,139.575
25.480,134.834
25.500,127.951
25.520,118.966
25.540,109.184
25.560,98.617
